Event ID;Date;Region;Source;Ship Type;Area;Location;Pollutant;Estimated Litres
172;2004-07-30 00:00:00;Brisbane;other;n/a;coastal waters;Helicopter Pontoon, South Bank Reach;other;
173;2004-07-30 00:00:00;Cairns;ship;fishing;port limits;D Finger Commercial Fishermans Base #1;bilge;5.0
174;2004-08-08 00:00:00;Cairns;ship;commercial;great barrier reef;Fairway Channel near Pipin Reef;sheen;
175;2004-08-09 00:00:00;Cairns;ship;unknown;port limits;E. Finger Marlin Marina;diesel;15.0
176;2004-08-16 00:00:00;Cairns;land;fishing;port limits;Main Wharf, Thursday Island;sheen;6.0
177;2004-08-16 00:00:00;Mackay;ship;commercial;great barrier reef;5 nm NE High Peak Island;bilge;
178;2004-08-17 00:00:00;Gladstone;unknown;unknown;great barrier reef;Great Keppel Island;bilge;
179;2004-08-24 00:00:00;Cairns;ship;commercial;port limits;Thursday Island Harbour;sheen;
180;2004-08-24 00:00:00;Cairns;ship;government;port limits;HMAS Cairns base form HMAS Ipswich;diesel;2.0
181;2004-09-02 00:00:00;Brisbane;land;n/a;coastal waters;Storm water drain between North Key and William Jolly Bridge;other;
182;2004-09-07 00:00:00;Brisbane;ship;commercial;port limits;Raptis Wharf, Brisbane River;other;40.0
183;2004-09-09 00:00:00;Cairns;unknown;unknown;port limits;Between #10 South Dolphin and naval base;sheen;5.0
184;2004-09-18 00:00:00;Brisbane;ship;recreational;port limits;112 Quay St, Bulimba, Brisbane River;diesel;5.0
185;2004-09-28 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolah River, Mooloolaba;diesel;
186;2004-09-28 00:00:00;Cairns;ship;recreational;port limits;Sail Fish Quay Marlin Marina;bilge;60.0
187;2004-09-29 00:00:00;Townsville;ship;unknown;coastal waters;Rowes Bay, Bowen;other oil;
188;2004-10-03 00:00:00;Mackay;ship;recreational;great barrier reef;1 km East of Whitsunday Isl Craig;sheen;
189;2004-10-04 00:00:00;Brisbane;ship;fishing;port limits;Outside area of Scarborough Harbour;bilge;
190;2004-10-06 00:00:00;Cairns;ship;commercial;port limits;Between D Finger CFB 1 and Tropical Reef slipway, Trinity Inlet/ Smiths Creek;bilge;40.0
191;2004-10-07 00:00:00;Brisbane;unknown;unknown;port limits;Whyte Island Tug Base;unknown;
192;2004-10-10 00:00:00;Brisbane;land;n/a;coastal waters;Golden Beach, Pumicestone Passage;diesel;
193;2004-10-12 00:00:00;Brisbane;land;n/a;port limits;Fisherman Is #3 berth;diesel;100.0
194;2004-10-18 00:00:00;Brisbane;land;n/a;coastal waters;Diet Park ferry terminal, St Lucia;other;
195;2004-10-18 00:00:00;Brisbane;unknown;unknown;port limits;Brisbane River, mouth of Dobey Creek;diesel;
196;2004-10-19 00:00:00;At Sea;ship;commercial;coastal waters;31 miles to sea, ESE from Pt Lookout, bearing 115;other;
197;2004-10-21 00:00:00;Mackay;ship;commercial;great barrier reef;Centenary Cay, Swains Reef;diesel;
198;2004-10-22 00:00:00;Brisbane;ship;commercial;port limits;Fishermans Islands Berth 7;bilge;500.0
199;2004-10-24 00:00:00;Mackay;ship;unknown;port limits;Mackay Marina;diesel;
200;2004-10-27 00:00:00;Brisbane;unknown;unknown;coastal waters;Scarborough Harbour;bilge;
201;2004-10-31 00:00:00;Brisbane;ship;commercial;port limits;Brisbane River, Pikenba no 2 berth;other;
202;2004-10-31 00:00:00;Brisbane;unknown;unknown;port limits;Moreton Bay, Woody Point, adj Woodcliffe Cres;other;
203;2004-11-01 00:00:00;Townsville;ship;fishing;port limits;South Townsville;diesel;
204;2004-11-05 00:00:00;Brisbane;ship;commercial;coastal waters;Public boat ramp, Kings Beach, Caloundra;diesel;
205;2004-11-06 00:00:00;Brisbane;unknown;unknown;port limits;Bulimba Reach, Teneriffe, Brisbane River;other;
206;2004-11-15 00:00:00;Brisbane;unknown;unknown;coastal waters;Manly Boat Harbour ;sheen;
207;2004-11-17 00:00:00;Brisbane;unknown;unknown;port limits;Bretts Wharf to Breakfast Creek;diesel;
208;2004-11-19 00:00:00;Gladstone;ship;fishing;port limits;2 cables SSE of Turtle Island, Gladstone Harbour;diesel;
209;2004-11-20 00:00:00;Brisbane;ship;recreational;coastal waters;Wood canal, Aquatic Paradise, Birkdale;diesel;
210;2004-11-21 00:00:00;Mackay;ship;commercial;port limits;Hay Point Anchorage;bilge;
211;2004-11-23 00:00:00;Brisbane;unknown;unknown;coastal waters;Gardens Pt moorings, Town Reach, Brisbane River ;sheen;
212;2004-12-06 00:00:00;Brisbane;ship;recreational;coastal waters;1 mile, Stradbroke Island;other;
213;2004-12-09 00:00:00;Mackay;ship;recreational;great barrier reef;Repulse Bay leading into Laguna Quays marina;sheen;
214;2004-12-25 00:00:00;Brisbane;unknown;unknown;port limits;Brisbane River, Bulimba Reach- Bartons Rd, Hawthorne;sheen;
215;2004-12-26 00:00:00;Townsville;ship;commercial;great barrier reef;Palm Passage;other oil;
216;2004-12-29 00:00:00;Cairns;ship;fishing;port limits;Trinity Petroleum Fuel Berth;sheen;300.0
217;2005-01-31 00:00:00;Brisbane;unknown;unknown;coastal waters;Weinam Creek, Redland Bay (near old water taxi terminal);diesel;50.0
218;2005-02-01 00:00:00;Brisbane;land;n/a;coastal waters;Storm Water Drain into Brisbane River, New Farm (100m upstream Merthyr Rd);other;
219;2005-02-01 00:00:00;Townsville;unknown;unknown;port limits;Ross Creek, adjacent to Motor Boat Club, Tomlin St;sheen;
220;2005-02-03 00:00:00;Brisbane;ship;recreational;coastal waters;Raby Bay Marina, Endeavour Canal, Raby Bay;sheen;
221;2005-02-09 00:00:00;Brisbane;unknown;unknown;coastal waters;Stanford Plaza, Downstream from Botanical Gardens;sheen;
222;2005-02-19 00:00:00;Brisbane;unknown;unknown;port limits;Bulimba Reach, Brisbane River;sheen;
223;2005-02-24 00:00:00;Brisbane;land;n/a;port limits;Boat Passabe , Whyte Island, Brisbane River;sheen;
224;2005-02-24 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;diesel;
225;2005-02-24 00:00:00;Cairns;ship;government;port limits;Main Wharf, Thursday Island;diesel;300.0
226;2005-02-25 00:00:00;Cairns;ship;commercial;great barrier reef; Inner Route, North of Cairns;bilge;
227;2005-03-07 00:00:00;Cairns;land;n/a;coastal waters;Badu Island, Torres Strait;diesel;
228;2005-03-09 00:00:00;Brisbane;ship;recreational;coastal waters;Newport Waterways Marina, Scarborough;bilge;
229;2005-03-30 00:00:00;Brisbane;unknown;unknown;coastal waters;Cabbage Tree Creek, Sandgate;sheen;
230;2005-03-30 00:00:00;Cairns;ship;fishing;port limits;Trinity Inlet, Cairns - betwenCoconut Slipway & Redbank Ck;diesel;10.0
231;2005-04-01 00:00:00;Cairns;unknown;unknown;port limits;Commercial Fishermans Base 2, Smiths Creek, Cairns;diesel;5.0
232;2005-04-11 00:00:00;Brisbane;land;n/a;port limits;Caincross Bockyard, Brisbane River;bilge;40.0
233;2005-04-14 00:00:00;Brisbane;unknown;unknown;port limits;Fishermans Islands #3;sheen;
234;2005-04-16 00:00:00;Brisbane;unknown;unknown;port limits;Caincross Dockyard, Brisbane River;sheen;
235;2005-04-19 00:00:00;Cairns;ship;government;port limits;HMAS Cairns base form HMAS Ipswich;diesel;100.0
236;2005-04-22 00:00:00;Brisbane;unknown;unknown;coastal waters;Browns Slipway, Nooloola River;sheen;
237;2005-05-04 00:00:00;Mackay;ship;recreational;coastal waters;Marble Island, Duke Group;diesel;2000.0
238;2005-05-05 00:00:00;Cairns;ship;unknown;port limits;Thursday Island Harbour;sheen;
239;2005-05-11 00:00:00;Brisbane;unknown;unknown;port limits;Cabbage Tree Creek, Sandgate;diesel;
240;2005-05-20 00:00:00;Cairns;ship;unknown;port limits;Marlin Marina, Cairns;bilge;
241;2005-05-20 00:00:00;Cairns;unknown;unknown;coastal waters;Port Douglas;sheen;
242;2005-06-02 00:00:00;Brisbane;unknown;unknown;port limits;Cabbage Tree Creek, Sandgate;sheen;
243;2005-06-15 00:00:00;Brisbane;unknown;unknown;coastal waters;Petrie Bight, Brisbane River;sheen;
244;2005-06-20 00:00:00;Brisbane;unknown;unknown;port limits;Scarborough Harbour;sheen;
245;2005-06-29 00:00:00;Brisbane;land;unknown;port limits;Fishermans Islands, Brisbane;diesel;
246;2005-07-17 00:00:00;Cairns;ship;commercial;port limits;Thursday Island Harbour;diesel;180.0
247;2005-08-10 00:00:00;Cairns;unknown;unknown;port limits;Marlin Marina Cairns;other;
248;2005-08-16 00:00:00;Brisbane;ship;recreational;coastal waters;Scarbrough Boat Harbour;other oil;
249;2005-08-24 00:00:00;Gladstone;ship;commercial;port limits;Gladstone Harbour;diesel;
250;2005-08-25 00:00:00;Cairns;ship;commercial;port limits;Smiths Creek, Cairns;bilge;
251;2005-08-31 00:00:00;Cairns;ship;commercial;port limits;Thursday Island Main Wharf;diesel;
252;2005-09-21 00:00:00;Cairns;unknown;unknown;coastal waters;Marina Mirage, Port Douglas;diesel;
253;2005-09-22 00:00:00;Mackay;unknown;unknown;port limits;Mackay Marina;diesel;5.0
